Barcode,Original Barcode,Series GEO,Sample GEO
Cy72_CD45_H02_S758_comb_GSM1850539,Cy72_CD45_H02_S758_comb,GSE72056,GSM1850539
CY58_1_CD45_B02_S974_comb_GSM1850540,CY58_1_CD45_B02_S974_comb,GSE72056,GSM1850540
Cy71_CD45_D08_S524_comb_GSM1850541,Cy71_CD45_D08_S524_comb,GSE72056,GSM1850541
Cy81_FNA_CD45_B01_S301_comb_GSM1850542,Cy81_FNA_CD45_B01_S301_comb,GSE72056,GSM1850542
Cy80_II_CD45_B07_S883_comb_GSM1850543,Cy80_II_CD45_B07_S883_comb,GSE72056,GSM1850543
Cy81_Bulk_CD45_B10_S118_comb_GSM1850544,Cy81_Bulk_CD45_B10_S118_comb,GSE72056,GSM1850544
Cy72_CD45_D09_S717_comb_GSM1850545,Cy72_CD45_D09_S717_comb,GSE72056,GSM1850545
Cy74_CD45_A03_S387_comb_GSM1850546,Cy74_CD45_A03_S387_comb,GSE72056,GSM1850546
Cy71_CD45_B05_S497_comb_GSM1850547,Cy71_CD45_B05_S497_comb,GSE72056,GSM1850547
Cy80_II_CD45_C09_S897_comb_GSM1850548,Cy80_II_CD45_C09_S897_comb,GSE72056,GSM1850548
Cy74_CD45_F09_S453_comb_GSM1850549,Cy74_CD45_F09_S453_comb,GSE72056,GSM1850549
CY58_1_CD45_D03_S999_comb_GSM1850550,CY58_1_CD45_D03_S999_comb,GSE72056,GSM1850550
Cy72_CD45_C01_S697_comb_GSM1850551,Cy72_CD45_C01_S697_comb,GSE72056,GSM1850551
Cy71_CD45_D07_S523_comb_GSM1850552,Cy71_CD45_D07_S523_comb,GSE72056,GSM1850552
Cy81_FNA_CD45_C12_S228_comb_GSM1850553,Cy81_FNA_CD45_C12_S228_comb,GSE72056,GSM1850553
Cy81_FNA_CD45_E05_S341_comb_GSM1850554,Cy81_FNA_CD45_E05_S341_comb,GSE72056,GSM1850554
Cy74_CD45_D04_S424_comb_GSM1850555,Cy74_CD45_D04_S424_comb,GSE72056,GSM1850555
