geo_accession,title,status,submission_date,last_update_date,type,channel_count,source_name_ch1,organism_ch1,taxid_ch1,characteristics_ch1,molecule_ch1,extract_protocol_ch1,description,data_processing,platform_id,contact_name,contact_laboratory,contact_department,contact_institute,contact_address,contact_city,contact_state,contact_zip/postal_code,contact_country,instrument_model,library_selection,library_source,library_strategy,relation,supplementary_file_1,series_id,data_row_count,33
GSM3148575,BC09_TUMOR1,Public on Jun 28 2018,May 21 2018,Jun 28 2018,SRA,1,CD3+ leukocytes,Homo sapiens,9606,donor: BC09,polyA RNA,Chromium Single Cell 5′ Library & Gel Bead Kit,"10x Data was processed with the Cell Ranger pipeline, version 2.1.1",GPL18573,"Ambrose,J,Carr",Dana Pe'er,"Computational and Systems Biology Program, SKI",Memorial Sloan Kettering Cancer Center,417 E 68th St,New York,NY,10065,USA,Illumina NextSeq 500,cDNA,transcriptomic,RNA-Seq,BioSample: https://www.ncbi.nlm.nih.gov/biosample/SAMN09233257,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM3148nnn/GSM3148575/suppl/GSM3148575_BC09_TUMOR1_barcodes.tsv.gz,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM3148nnn/GSM3148575/suppl/GSM3148575_BC09_TUMOR1_genes.tsv.gz,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM3148nnn/GSM3148575/suppl/GSM3148575_BC09_TUMOR1_matrix.mtx.gz,GSE114724,0
GSM3148576,BC09_TUMOR2,Public on Jun 28 2018,May 21 2018,Jun 28 2018,SRA,1,CD3+ leukocytes,Homo sapiens,9606,donor: BC09,polyA RNA,Chromium Single Cell 5′ Library & Gel Bead Kit,"10x Data was processed with the Cell Ranger pipeline, version 2.1.1",GPL18573,"Ambrose,J,Carr",Dana Pe'er,"Computational and Systems Biology Program, SKI",Memorial Sloan Kettering Cancer Center,417 E 68th St,New York,NY,10065,USA,Illumina NextSeq 500,cDNA,transcriptomic,RNA-Seq,BioSample: https://www.ncbi.nlm.nih.gov/biosample/SAMN09233256,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM3148nnn/GSM3148576/suppl/GSM3148576_BC09_TUMOR2_barcodes.tsv.gz,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM3148nnn/GSM3148576/suppl/GSM3148576_BC09_TUMOR2_genes.tsv.gz,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM3148nnn/GSM3148576/suppl/GSM3148576_BC09_TUMOR2_matrix.mtx.gz,GSE114724,0
GSM3148577,BC10_TUMOR1,Public on Jun 28 2018,May 21 2018,Jun 28 2018,SRA,1,CD3+ leukocytes,Homo sapiens,9606,donor: BC10,polyA RNA,Chromium Single Cell 5′ Library & Gel Bead Kit,"10x Data was processed with the Cell Ranger pipeline, version 2.1.1",GPL18573,"Ambrose,J,Carr",Dana Pe'er,"Computational and Systems Biology Program, SKI",Memorial Sloan Kettering Cancer Center,417 E 68th St,New York,NY,10065,USA,Illumina NextSeq 500,cDNA,transcriptomic,RNA-Seq,BioSample: https://www.ncbi.nlm.nih.gov/biosample/SAMN09233255,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM3148nnn/GSM3148577/suppl/GSM3148577_BC10_TUMOR1_barcodes.tsv.gz,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM3148nnn/GSM3148577/suppl/GSM3148577_BC10_TUMOR1_genes.tsv.gz,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM3148nnn/GSM3148577/suppl/GSM3148577_BC10_TUMOR1_matrix.mtx.gz,GSE114724,0
GSM3148578,BC11_TUMOR1,Public on Jun 28 2018,May 21 2018,Jun 28 2018,SRA,1,CD3+ leukocytes,Homo sapiens,9606,donor: BC11,polyA RNA,Chromium Single Cell 5′ Library & Gel Bead Kit,"10x Data was processed with the Cell Ranger pipeline, version 2.1.1",GPL18573,"Ambrose,J,Carr",Dana Pe'er,"Computational and Systems Biology Program, SKI",Memorial Sloan Kettering Cancer Center,417 E 68th St,New York,NY,10065,USA,Illumina NextSeq 500,cDNA,transcriptomic,RNA-Seq,BioSample: https://www.ncbi.nlm.nih.gov/biosample/SAMN09233254,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM3148nnn/GSM3148578/suppl/GSM3148578_BC11_TUMOR1_barcodes.tsv.gz,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM3148nnn/GSM3148578/suppl/GSM3148578_BC11_TUMOR1_genes.tsv.gz,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM3148nnn/GSM3148578/suppl/GSM3148578_BC11_TUMOR1_matrix.mtx.gz,GSE114724,0
GSM3148579,BC11_TUMOR2,Public on Jun 28 2018,May 21 2018,Jun 28 2018,SRA,1,CD3+ leukocytes,Homo sapiens,9606,donor: BC11,polyA RNA,Chromium Single Cell 5′ Library & Gel Bead Kit,"10x Data was processed with the Cell Ranger pipeline, version 2.1.1",GPL18573,"Ambrose,J,Carr",Dana Pe'er,"Computational and Systems Biology Program, SKI",Memorial Sloan Kettering Cancer Center,417 E 68th St,New York,NY,10065,USA,Illumina NextSeq 500,cDNA,transcriptomic,RNA-Seq,BioSample: https://www.ncbi.nlm.nih.gov/biosample/SAMN09233253,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM3148nnn/GSM3148579/suppl/GSM3148579_BC11_TUMOR2_barcodes.tsv.gz,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM3148nnn/GSM3148579/suppl/GSM3148579_BC11_TUMOR2_genes.tsv.gz,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM3148nnn/GSM3148579/suppl/GSM3148579_BC11_TUMOR2_matrix.mtx.gz,GSE114724,0
GSM3148580,BC09_TUMOR1_TCR,Public on Jun 28 2018,May 21 2018,Jun 28 2018,SRA,1,CD3+ leukocytes,Homo sapiens,9606,donor: BC09,total RNA,"Chromium Single Cell V(D)J Enrichment Kit, Human T Cell",Contains RNA sequencing of the T-cell receptor of individual cells,"10x Data was processed with the Cell Ranger pipeline, version 2.1.1",GPL16791,"Ambrose,J,Carr",Dana Pe'er,"Computational and Systems Biology Program, SKI",Memorial Sloan Kettering Cancer Center,417 E 68th St,New York,NY,10065,USA,Illumina HiSeq 2500,cDNA,transcriptomic,RNA-Seq,BioSample: https://www.ncbi.nlm.nih.gov/biosample/SAMN09233252,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM3148nnn/GSM3148580/suppl/GSM3148580_BC09_TUMOR1_filtered_contig_annotations.csv.gz,GSE114724,0,
GSM3148581,BC09_TUMOR2_TCR,Public on Jun 28 2018,May 21 2018,Jun 28 2018,SRA,1,CD3+ leukocytes,Homo sapiens,9606,donor: BC09,total RNA,"Chromium Single Cell V(D)J Enrichment Kit, Human T Cell",Contains RNA sequencing of the T-cell receptor of individual cells,"10x Data was processed with the Cell Ranger pipeline, version 2.1.1",GPL16791,"Ambrose,J,Carr",Dana Pe'er,"Computational and Systems Biology Program, SKI",Memorial Sloan Kettering Cancer Center,417 E 68th St,New York,NY,10065,USA,Illumina HiSeq 2500,cDNA,transcriptomic,RNA-Seq,BioSample: https://www.ncbi.nlm.nih.gov/biosample/SAMN09233250,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM3148nnn/GSM3148581/suppl/GSM3148581_BC09_TUMOR2_filtered_contig_annotations.csv.gz,GSE114724,0,
GSM3148582,BC10_TUMOR1_TCR,Public on Jun 28 2018,May 21 2018,Jun 28 2018,SRA,1,CD3+ leukocytes,Homo sapiens,9606,donor: BC10,total RNA,"Chromium Single Cell V(D)J Enrichment Kit, Human T Cell",Contains RNA sequencing of the T-cell receptor of individual cells,"10x Data was processed with the Cell Ranger pipeline, version 2.1.1",GPL16791,"Ambrose,J,Carr",Dana Pe'er,"Computational and Systems Biology Program, SKI",Memorial Sloan Kettering Cancer Center,417 E 68th St,New York,NY,10065,USA,Illumina HiSeq 2500,cDNA,transcriptomic,RNA-Seq,BioSample: https://www.ncbi.nlm.nih.gov/biosample/SAMN09233249,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM3148nnn/GSM3148582/suppl/GSM3148582_BC10_TUMOR1_filtered_contig_annotations.csv.gz,GSE114724,0,
GSM3148583,BC11_TUMOR1_TCR,Public on Jun 28 2018,May 21 2018,Jun 28 2018,SRA,1,CD3+ leukocytes,Homo sapiens,9606,donor: BC11,total RNA,"Chromium Single Cell V(D)J Enrichment Kit, Human T Cell",Contains RNA sequencing of the T-cell receptor of individual cells,"10x Data was processed with the Cell Ranger pipeline, version 2.1.1",GPL16791,"Ambrose,J,Carr",Dana Pe'er,"Computational and Systems Biology Program, SKI",Memorial Sloan Kettering Cancer Center,417 E 68th St,New York,NY,10065,USA,Illumina HiSeq 2500,cDNA,transcriptomic,RNA-Seq,BioSample: https://www.ncbi.nlm.nih.gov/biosample/SAMN09233248,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM3148nnn/GSM3148583/suppl/GSM3148583_BC11_TUMOR1_filtered_contig_annotations.csv.gz,GSE114724,0,
GSM3148584,BC11_TUMOR2_TCR,Public on Jun 28 2018,May 21 2018,Jun 28 2018,SRA,1,CD3+ leukocytes,Homo sapiens,9606,donor: BC11,total RNA,"Chromium Single Cell V(D)J Enrichment Kit, Human T Cell",Contains RNA sequencing of the T-cell receptor of individual cells,"10x Data was processed with the Cell Ranger pipeline, version 2.1.1",GPL16791,"Ambrose,J,Carr",Dana Pe'er,"Computational and Systems Biology Program, SKI",Memorial Sloan Kettering Cancer Center,417 E 68th St,New York,NY,10065,USA,Illumina HiSeq 2500,cDNA,transcriptomic,RNA-Seq,BioSample: https://www.ncbi.nlm.nih.gov/biosample/SAMN09233247,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM3148nnn/GSM3148584/suppl/GSM3148584_BC11_TUMOR2_filtered_contig_annotations.csv.gz,GSE114724,0,
