geo_accession,title,status,submission_date,last_update_date,type,channel_count,source_name_ch1,organism_ch1,taxid_ch1,characteristics_ch1,treatment_protocol_ch1,molecule_ch1,extract_protocol_ch1,description,data_processing,platform_id,contact_name,contact_email,contact_institute,contact_address,contact_city,contact_zip/postal_code,contact_country,instrument_model,library_selection,library_source,library_strategy,relation,supplementary_file_1,series_id,data_row_count
GSM3496285,AB1889,Public on Dec 27 2018,Nov 29 2018,Dec 27 2018,SRA,1,Immune cells sorted from melanoma tumors,Homo sapiens,9606,plate id: 19,All samples were dissected from patients and digested into single cell suspension,polyA RNA,Cells were digested to form a single cell suspension and FACS sorted into capture plates,Amp batch AB1889,bcl2fastq/2.15.0.4,GPL18573,"Yaniv,,Lubling",yaniv.lubling@weizmann.ac.il,Weizmann Institute of Science,POB 26,Rehovot,76100,Israel,Illumina NextSeq 500,cDNA,transcriptomic,RNA-Seq,BioSample: https://www.ncbi.nlm.nih.gov/biosample/SAMN10500458,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM3496nnn/GSM3496285/suppl/GSM3496285_AB1889.txt.gz,GSE123139,0
GSM3496286,AB1890,Public on Dec 27 2018,Nov 29 2018,Dec 27 2018,SRA,1,Immune cells sorted from melanoma tumors,Homo sapiens,9606,plate id: 20,All samples were dissected from patients and digested into single cell suspension,polyA RNA,Cells were digested to form a single cell suspension and FACS sorted into capture plates,Amp batch AB1890,bcl2fastq/2.15.0.4,GPL18573,"Yaniv,,Lubling",yaniv.lubling@weizmann.ac.il,Weizmann Institute of Science,POB 26,Rehovot,76100,Israel,Illumina NextSeq 500,cDNA,transcriptomic,RNA-Seq,BioSample: https://www.ncbi.nlm.nih.gov/biosample/SAMN10500457,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM3496nnn/GSM3496286/suppl/GSM3496286_AB1890.txt.gz,GSE123139,0
GSM3496287,AB1891,Public on Dec 27 2018,Nov 29 2018,Dec 27 2018,SRA,1,Immune cells sorted from melanoma tumors,Homo sapiens,9606,plate id: 21,All samples were dissected from patients and digested into single cell suspension,polyA RNA,Cells were digested to form a single cell suspension and FACS sorted into capture plates,Amp batch AB1891,bcl2fastq/2.15.0.4,GPL18573,"Yaniv,,Lubling",yaniv.lubling@weizmann.ac.il,Weizmann Institute of Science,POB 26,Rehovot,76100,Israel,Illumina NextSeq 500,cDNA,transcriptomic,RNA-Seq,BioSample: https://www.ncbi.nlm.nih.gov/biosample/SAMN10500455,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM3496nnn/GSM3496287/suppl/GSM3496287_AB1891.txt.gz,GSE123139,0
GSM3496288,AB1892,Public on Dec 27 2018,Nov 29 2018,Dec 27 2018,SRA,1,Immune cells sorted from melanoma tumors,Homo sapiens,9606,plate id: 22,All samples were dissected from patients and digested into single cell suspension,polyA RNA,Cells were digested to form a single cell suspension and FACS sorted into capture plates,Amp batch AB1892,bcl2fastq/2.15.0.4,GPL18573,"Yaniv,,Lubling",yaniv.lubling@weizmann.ac.il,Weizmann Institute of Science,POB 26,Rehovot,76100,Israel,Illumina NextSeq 500,cDNA,transcriptomic,RNA-Seq,BioSample: https://www.ncbi.nlm.nih.gov/biosample/SAMN10500454,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM3496nnn/GSM3496288/suppl/GSM3496288_AB1892.txt.gz,GSE123139,0
GSM3496289,AB2093,Public on Dec 27 2018,Nov 29 2018,Dec 27 2018,SRA,1,Immune cells sorted from melanoma tumors,Homo sapiens,9606,plate id: 23,All samples were dissected from patients and digested into single cell suspension,polyA RNA,Cells were digested to form a single cell suspension and FACS sorted into capture plates,Amp batch AB2093,bcl2fastq/2.15.0.4,GPL18573,"Yaniv,,Lubling",yaniv.lubling@weizmann.ac.il,Weizmann Institute of Science,POB 26,Rehovot,76100,Israel,Illumina NextSeq 500,cDNA,transcriptomic,RNA-Seq,BioSample: https://www.ncbi.nlm.nih.gov/biosample/SAMN10500453,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM3496nnn/GSM3496289/suppl/GSM3496289_AB2093.txt.gz,GSE123139,0
GSM3496290,AB2094,Public on Dec 27 2018,Nov 29 2018,Dec 27 2018,SRA,1,Immune cells sorted from melanoma tumors,Homo sapiens,9606,plate id: 25,All samples were dissected from patients and digested into single cell suspension,polyA RNA,Cells were digested to form a single cell suspension and FACS sorted into capture plates,Amp batch AB2094,bcl2fastq/2.15.0.4,GPL18573,"Yaniv,,Lubling",yaniv.lubling@weizmann.ac.il,Weizmann Institute of Science,POB 26,Rehovot,76100,Israel,Illumina NextSeq 500,cDNA,transcriptomic,RNA-Seq,BioSample: https://www.ncbi.nlm.nih.gov/biosample/SAMN10500451,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM3496nnn/GSM3496290/suppl/GSM3496290_AB2094.txt.gz,GSE123139,0
GSM3496291,AB2095,Public on Dec 27 2018,Nov 29 2018,Dec 27 2018,SRA,1,Immune cells sorted from melanoma tumors,Homo sapiens,9606,plate id: 26,All samples were dissected from patients and digested into single cell suspension,polyA RNA,Cells were digested to form a single cell suspension and FACS sorted into capture plates,Amp batch AB2095,bcl2fastq/2.15.0.4,GPL18573,"Yaniv,,Lubling",yaniv.lubling@weizmann.ac.il,Weizmann Institute of Science,POB 26,Rehovot,76100,Israel,Illumina NextSeq 500,cDNA,transcriptomic,RNA-Seq,BioSample: https://www.ncbi.nlm.nih.gov/biosample/SAMN10500450,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM3496nnn/GSM3496291/suppl/GSM3496291_AB2095.txt.gz,GSE123139,0
GSM3496292,AB2096,Public on Dec 27 2018,Nov 29 2018,Dec 27 2018,SRA,1,Immune cells sorted from melanoma tumors,Homo sapiens,9606,plate id: 28,All samples were dissected from patients and digested into single cell suspension,polyA RNA,Cells were digested to form a single cell suspension and FACS sorted into capture plates,Amp batch AB2096,bcl2fastq/2.15.0.4,GPL18573,"Yaniv,,Lubling",yaniv.lubling@weizmann.ac.il,Weizmann Institute of Science,POB 26,Rehovot,76100,Israel,Illumina NextSeq 500,cDNA,transcriptomic,RNA-Seq,BioSample: https://www.ncbi.nlm.nih.gov/biosample/SAMN10500449,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM3496nnn/GSM3496292/suppl/GSM3496292_AB2096.txt.gz,GSE123139,0
GSM3496293,AB2097,Public on Dec 27 2018,Nov 29 2018,Dec 27 2018,SRA,1,Immune cells sorted from melanoma tumors,Homo sapiens,9606,plate id: 29,All samples were dissected from patients and digested into single cell suspension,polyA RNA,Cells were digested to form a single cell suspension and FACS sorted into capture plates,Amp batch AB2097,bcl2fastq/2.15.0.4,GPL18573,"Yaniv,,Lubling",yaniv.lubling@weizmann.ac.il,Weizmann Institute of Science,POB 26,Rehovot,76100,Israel,Illumina NextSeq 500,cDNA,transcriptomic,RNA-Seq,BioSample: https://www.ncbi.nlm.nih.gov/biosample/SAMN10500447,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM3496nnn/GSM3496293/suppl/GSM3496293_AB2097.txt.gz,GSE123139,0
GSM3496294,AB2098,Public on Dec 27 2018,Nov 29 2018,Dec 27 2018,SRA,1,Immune cells sorted from melanoma tumors,Homo sapiens,9606,plate id: 37,All samples were dissected from patients and digested into single cell suspension,polyA RNA,Cells were digested to form a single cell suspension and FACS sorted into capture plates,Amp batch AB2098,bcl2fastq/2.15.0.4,GPL18573,"Yaniv,,Lubling",yaniv.lubling@weizmann.ac.il,Weizmann Institute of Science,POB 26,Rehovot,76100,Israel,Illumina NextSeq 500,cDNA,transcriptomic,RNA-Seq,BioSample: https://www.ncbi.nlm.nih.gov/biosample/SAMN10500446,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM3496nnn/GSM3496294/suppl/GSM3496294_AB2098.txt.gz,GSE123139,0
