geo_accession,title,status,submission_date,last_update_date,type,channel_count,source_name_ch1,organism_ch1,taxid_ch1,characteristics_ch1,growth_protocol_ch1,molecule_ch1,extract_protocol_ch1,description,data_processing,platform_id,contact_name,contact_email,contact_phone,contact_laboratory,contact_department,contact_institute,contact_address,contact_city,contact_state,contact_zip/postal_code,contact_country,instrument_model,library_selection,library_source,library_strategy,relation,supplementary_file_1,series_id,data_row_count
GSM3511735,su001_pre1_Tcell_RNA,Public on May 24 2019,Dec 13 2018,May 24 2019,SRA,1,Basal cell carinoma tumor,Homo sapiens,9606,donor: su001,polyA RNA,10X Genomics Single Cell 5' Library & Gel Bead Kit,5' gene expression library (10X Genomics),"Processed with cellranger pipeline, version 2.1.0",GPL20301,"Howard,Y,Chang",howchang@stanford.edu,650-725-7022,Howard Y. Chang,Center for Personal Dynamic Regulomes,Stanford University,"CCSR 2130, 269 Campus Drive",Stanford,CA,94305,USA,Illumina HiSeq 4000,cDNA,transcriptomic,RNA-Seq,BioSample: https://www.ncbi.nlm.nih.gov/biosample/SAMN10589740,NONE,GSE123813,0,
GSM3511736,su001_pre1_Tumor_CD45_RNA,Public on May 24 2019,Dec 13 2018,May 24 2019,SRA,1,Basal cell carinoma tumor,Homo sapiens,9606,donor: su001,polyA RNA,10X Genomics Single Cell 5' Library & Gel Bead Kit,5' gene expression library (10X Genomics),"Processed with cellranger pipeline, version 2.1.0",GPL20301,"Howard,Y,Chang",howchang@stanford.edu,650-725-7022,Howard Y. Chang,Center for Personal Dynamic Regulomes,Stanford University,"CCSR 2130, 269 Campus Drive",Stanford,CA,94305,USA,Illumina HiSeq 4000,cDNA,transcriptomic,RNA-Seq,BioSample: https://www.ncbi.nlm.nih.gov/biosample/SAMN10589739,NONE,GSE123813,0,
GSM3511737,su001_pre2_All_RNA,Public on May 24 2019,Dec 13 2018,May 24 2019,SRA,1,Basal cell carinoma tumor,Homo sapiens,9606,donor: su001,polyA RNA,10X Genomics Single Cell 5' Library & Gel Bead Kit,5' gene expression library (10X Genomics),"Processed with cellranger pipeline, version 2.1.0",GPL20301,"Howard,Y,Chang",howchang@stanford.edu,650-725-7022,Howard Y. Chang,Center for Personal Dynamic Regulomes,Stanford University,"CCSR 2130, 269 Campus Drive",Stanford,CA,94305,USA,Illumina HiSeq 4000,cDNA,transcriptomic,RNA-Seq,BioSample: https://www.ncbi.nlm.nih.gov/biosample/SAMN10589738,NONE,GSE123813,0,
GSM3511738,su001_post_Tcell_RNA,Public on May 24 2019,Dec 13 2018,May 24 2019,SRA,1,Basal cell carinoma tumor,Homo sapiens,9606,donor: su001,polyA RNA,10X Genomics Single Cell 5' Library & Gel Bead Kit,5' gene expression library (10X Genomics),"Processed with cellranger pipeline, version 2.1.0",GPL20301,"Howard,Y,Chang",howchang@stanford.edu,650-725-7022,Howard Y. Chang,Center for Personal Dynamic Regulomes,Stanford University,"CCSR 2130, 269 Campus Drive",Stanford,CA,94305,USA,Illumina HiSeq 4000,cDNA,transcriptomic,RNA-Seq,BioSample: https://www.ncbi.nlm.nih.gov/biosample/SAMN10589737,NONE,GSE123813,0,
GSM3511739,su001_post_Tumor_CD45_RNA,Public on May 24 2019,Dec 13 2018,May 24 2019,SRA,1,Basal cell carinoma tumor,Homo sapiens,9606,donor: su001,polyA RNA,10X Genomics Single Cell 5' Library & Gel Bead Kit,5' gene expression library (10X Genomics),"Processed with cellranger pipeline, version 2.1.0",GPL20301,"Howard,Y,Chang",howchang@stanford.edu,650-725-7022,Howard Y. Chang,Center for Personal Dynamic Regulomes,Stanford University,"CCSR 2130, 269 Campus Drive",Stanford,CA,94305,USA,Illumina HiSeq 4000,cDNA,transcriptomic,RNA-Seq,BioSample: https://www.ncbi.nlm.nih.gov/biosample/SAMN10589736,NONE,GSE123813,0,
GSM3511740,su002_pre_All_RNA,Public on May 24 2019,Dec 13 2018,May 24 2019,SRA,1,Basal cell carinoma tumor,Homo sapiens,9606,donor: su002,polyA RNA,10X Genomics Single Cell 5' Library & Gel Bead Kit,5' gene expression library (10X Genomics),"Processed with cellranger pipeline, version 2.1.0",GPL20301,"Howard,Y,Chang",howchang@stanford.edu,650-725-7022,Howard Y. Chang,Center for Personal Dynamic Regulomes,Stanford University,"CCSR 2130, 269 Campus Drive",Stanford,CA,94305,USA,Illumina HiSeq 4000,cDNA,transcriptomic,RNA-Seq,BioSample: https://www.ncbi.nlm.nih.gov/biosample/SAMN10589735,NONE,GSE123813,0,
GSM3511741,su002_post_Tcell_RNA,Public on May 24 2019,Dec 13 2018,May 24 2019,SRA,1,Basal cell carinoma tumor,Homo sapiens,9606,donor: su002,polyA RNA,10X Genomics Single Cell 5' Library & Gel Bead Kit,5' gene expression library (10X Genomics),"Processed with cellranger pipeline, version 2.1.0",GPL20301,"Howard,Y,Chang",howchang@stanford.edu,650-725-7022,Howard Y. Chang,Center for Personal Dynamic Regulomes,Stanford University,"CCSR 2130, 269 Campus Drive",Stanford,CA,94305,USA,Illumina HiSeq 4000,cDNA,transcriptomic,RNA-Seq,BioSample: https://www.ncbi.nlm.nih.gov/biosample/SAMN10589734,NONE,GSE123813,0,
GSM3511742,su002_post_Tumor_CD45_RNA,Public on May 24 2019,Dec 13 2018,May 24 2019,SRA,1,Basal cell carinoma tumor,Homo sapiens,9606,donor: su002,polyA RNA,10X Genomics Single Cell 5' Library & Gel Bead Kit,5' gene expression library (10X Genomics),"Processed with cellranger pipeline, version 2.1.0",GPL20301,"Howard,Y,Chang",howchang@stanford.edu,650-725-7022,Howard Y. Chang,Center for Personal Dynamic Regulomes,Stanford University,"CCSR 2130, 269 Campus Drive",Stanford,CA,94305,USA,Illumina HiSeq 4000,cDNA,transcriptomic,RNA-Seq,BioSample: https://www.ncbi.nlm.nih.gov/biosample/SAMN10589733,NONE,GSE123813,0,
GSM3511743,su003_pre_All_RNA,Public on May 24 2019,Dec 13 2018,May 24 2019,SRA,1,Basal cell carinoma tumor,Homo sapiens,9606,donor: su003,polyA RNA,10X Genomics Single Cell 5' Library & Gel Bead Kit,5' gene expression library (10X Genomics),"Processed with cellranger pipeline, version 2.1.0",GPL20301,"Howard,Y,Chang",howchang@stanford.edu,650-725-7022,Howard Y. Chang,Center for Personal Dynamic Regulomes,Stanford University,"CCSR 2130, 269 Campus Drive",Stanford,CA,94305,USA,Illumina HiSeq 4000,cDNA,transcriptomic,RNA-Seq,BioSample: https://www.ncbi.nlm.nih.gov/biosample/SAMN10589732,NONE,GSE123813,0,
GSM3511746,su003_post2_All_RNA,Public on May 24 2019,Dec 13 2018,May 24 2019,SRA,1,Basal cell carinoma tumor,Homo sapiens,9606,donor: su003,polyA RNA,10X Genomics Single Cell 5' Library & Gel Bead Kit,5' gene expression library (10X Genomics),"Processed with cellranger pipeline, version 2.1.0",GPL20301,"Howard,Y,Chang",howchang@stanford.edu,650-725-7022,Howard Y. Chang,Center for Personal Dynamic Regulomes,Stanford University,"CCSR 2130, 269 Campus Drive",Stanford,CA,94305,USA,Illumina HiSeq 4000,cDNA,transcriptomic,RNA-Seq,BioSample: https://www.ncbi.nlm.nih.gov/biosample/SAMN10589729,NONE,GSE123813,0,
GSM3511747,su004_pre_Tcell_RNA,Public on May 24 2019,Dec 13 2018,May 24 2019,SRA,1,Basal cell carinoma tumor,Homo sapiens,9606,donor: su004,polyA RNA,10X Genomics Single Cell 5' Library & Gel Bead Kit,5' gene expression library (10X Genomics),"Processed with cellranger pipeline, version 2.1.0",GPL20301,"Howard,Y,Chang",howchang@stanford.edu,650-725-7022,Howard Y. Chang,Center for Personal Dynamic Regulomes,Stanford University,"CCSR 2130, 269 Campus Drive",Stanford,CA,94305,USA,Illumina HiSeq 4000,cDNA,transcriptomic,RNA-Seq,BioSample: https://www.ncbi.nlm.nih.gov/biosample/SAMN10589728,NONE,GSE123813,0,
GSM3511748,su004_pre_Tumor_CD45_RNA,Public on May 24 2019,Dec 13 2018,May 24 2019,SRA,1,Basal cell carinoma tumor,Homo sapiens,9606,donor: su004,polyA RNA,10X Genomics Single Cell 5' Library & Gel Bead Kit,5' gene expression library (10X Genomics),"Processed with cellranger pipeline, version 2.1.0",GPL20301,"Howard,Y,Chang",howchang@stanford.edu,650-725-7022,Howard Y. Chang,Center for Personal Dynamic Regulomes,Stanford University,"CCSR 2130, 269 Campus Drive",Stanford,CA,94305,USA,Illumina HiSeq 4000,cDNA,transcriptomic,RNA-Seq,BioSample: https://www.ncbi.nlm.nih.gov/biosample/SAMN10589768,NONE,GSE123813,0,
GSM3511749,su004_post_Tcell_RNA,Public on May 24 2019,Dec 13 2018,May 24 2019,SRA,1,Basal cell carinoma tumor,Homo sapiens,9606,donor: su004,polyA RNA,10X Genomics Single Cell 5' Library & Gel Bead Kit,5' gene expression library (10X Genomics),"Processed with cellranger pipeline, version 2.1.0",GPL20301,"Howard,Y,Chang",howchang@stanford.edu,650-725-7022,Howard Y. Chang,Center for Personal Dynamic Regulomes,Stanford University,"CCSR 2130, 269 Campus Drive",Stanford,CA,94305,USA,Illumina HiSeq 4000,cDNA,transcriptomic,RNA-Seq,BioSample: https://www.ncbi.nlm.nih.gov/biosample/SAMN10589767,NONE,GSE123813,0,
