geo_accession,title,status,submission_date,last_update_date,type,channel_count,source_name_ch1,organism_ch1,taxid_ch1,characteristics_ch1,molecule_ch1,extract_protocol_ch1,description,data_processing,platform_id,contact_name,contact_email,contact_phone,contact_department,contact_institute,contact_address,contact_city,contact_state,contact_zip/postal_code,contact_country,instrument_model,library_selection,library_source,library_strategy,relation,supplementary_file_1,series_id,data_row_count
GSM4050085,S16_P10_LCP18,Public on Oct 06 2019,Aug 27 2019,Oct 06 2019,SRA,1,Primary liver cancer single-cell,Homo sapiens,9606,cancer type: Hepatocellular carcinoma,total RNA,"Libraries were prepared according to 10x Genomics Single Cell 3′ v2 Reagent Kit user guide. Briefly, the samples were washed and re-suspended in PBS + 0.04% BSA. Sample viability was assessed and a final concentration of 1,200 cells/µl of sample was adjusted. The cDNAs was obtained after the GEM generation and barcoding, followed by GEM RT reaction and cleanup steps. Purified cDNA was amplified for 14 cycles before being cleaned up using SPRIselect beads (Beckman). Samples were then run on a Bioanalyzer (Agilent Technologies) to determine cDNA concentration. cDNA libraries were prepared as recommended by 10x Genomics V2 user guide with appropriate modifications to the PCR cycles based on the calculated cDNA concentration. For samples preparation on the 10x Genomics platform, the Chromium Single Cell 3′ Library and Gel Bead Kit v2 (PN-120237), Chromium Single Cell 3′ Chip kit v2 (PN-120236) and Chromium i7 Multiplex Kit (PN-120262) were used.",Set 1 (Illumina NextSeq 500),Basecalling performed by RTA version 1.12.4.2.,GPL18573,"Xin,Wei,Wang",xw3u@nih.gov,240-760-6858,Laboratory of Human Carcinogenesis,National Cancer Institute,37 Convent Drive,Bethesda,MARYLAND,20892-4255,USA,Illumina NextSeq 500,cDNA,transcriptomic,RNA-Seq,BioSample: https://www.ncbi.nlm.nih.gov/biosample/SAMN12643370,NONE,GSE125449,0
GSM4050086,S02_P01_LCP21,Public on Oct 06 2019,Aug 27 2019,Oct 06 2019,SRA,1,Primary liver cancer single-cell,Homo sapiens,9606,cancer type: Hepatocellular carcinoma,total RNA,"Libraries were prepared according to 10x Genomics Single Cell 3′ v2 Reagent Kit user guide. Briefly, the samples were washed and re-suspended in PBS + 0.04% BSA. Sample viability was assessed and a final concentration of 1,200 cells/µl of sample was adjusted. The cDNAs was obtained after the GEM generation and barcoding, followed by GEM RT reaction and cleanup steps. Purified cDNA was amplified for 14 cycles before being cleaned up using SPRIselect beads (Beckman). Samples were then run on a Bioanalyzer (Agilent Technologies) to determine cDNA concentration. cDNA libraries were prepared as recommended by 10x Genomics V2 user guide with appropriate modifications to the PCR cycles based on the calculated cDNA concentration. For samples preparation on the 10x Genomics platform, the Chromium Single Cell 3′ Library and Gel Bead Kit v2 (PN-120237), Chromium Single Cell 3′ Chip kit v2 (PN-120236) and Chromium i7 Multiplex Kit (PN-120262) were used.",Set 1 (Illumina NextSeq 500),Basecalling performed by RTA version 1.12.4.2.,GPL18573,"Xin,Wei,Wang",xw3u@nih.gov,240-760-6858,Laboratory of Human Carcinogenesis,National Cancer Institute,37 Convent Drive,Bethesda,MARYLAND,20892-4255,USA,Illumina NextSeq 500,cDNA,transcriptomic,RNA-Seq,BioSample: https://www.ncbi.nlm.nih.gov/biosample/SAMN12643369,NONE,GSE125449,0
GSM4050087,S10_P05_LCP23,Public on Oct 06 2019,Aug 27 2019,Oct 06 2019,SRA,1,Primary liver cancer single-cell,Homo sapiens,9606,cancer type: Hepatocellular carcinoma,total RNA,"Libraries were prepared according to 10x Genomics Single Cell 3′ v2 Reagent Kit user guide. Briefly, the samples were washed and re-suspended in PBS + 0.04% BSA. Sample viability was assessed and a final concentration of 1,200 cells/µl of sample was adjusted. The cDNAs was obtained after the GEM generation and barcoding, followed by GEM RT reaction and cleanup steps. Purified cDNA was amplified for 14 cycles before being cleaned up using SPRIselect beads (Beckman). Samples were then run on a Bioanalyzer (Agilent Technologies) to determine cDNA concentration. cDNA libraries were prepared as recommended by 10x Genomics V2 user guide with appropriate modifications to the PCR cycles based on the calculated cDNA concentration. For samples preparation on the 10x Genomics platform, the Chromium Single Cell 3′ Library and Gel Bead Kit v2 (PN-120237), Chromium Single Cell 3′ Chip kit v2 (PN-120236) and Chromium i7 Multiplex Kit (PN-120262) were used.",Set 1 (Illumina NextSeq 500),Basecalling performed by RTA version 1.12.4.2.,GPL18573,"Xin,Wei,Wang",xw3u@nih.gov,240-760-6858,Laboratory of Human Carcinogenesis,National Cancer Institute,37 Convent Drive,Bethesda,MARYLAND,20892-4255,USA,Illumina NextSeq 500,cDNA,transcriptomic,RNA-Seq,BioSample: https://www.ncbi.nlm.nih.gov/biosample/SAMN12643366,NONE,GSE125449,0
GSM4050088,S09_P04_LCP25,Public on Oct 06 2019,Aug 27 2019,Oct 06 2019,SRA,1,Primary liver cancer single-cell,Homo sapiens,9606,cancer type: Intrahepatic cholangiocarcinoma,total RNA,"Libraries were prepared according to 10x Genomics Single Cell 3′ v2 Reagent Kit user guide. Briefly, the samples were washed and re-suspended in PBS + 0.04% BSA. Sample viability was assessed and a final concentration of 1,200 cells/µl of sample was adjusted. The cDNAs was obtained after the GEM generation and barcoding, followed by GEM RT reaction and cleanup steps. Purified cDNA was amplified for 14 cycles before being cleaned up using SPRIselect beads (Beckman). Samples were then run on a Bioanalyzer (Agilent Technologies) to determine cDNA concentration. cDNA libraries were prepared as recommended by 10x Genomics V2 user guide with appropriate modifications to the PCR cycles based on the calculated cDNA concentration. For samples preparation on the 10x Genomics platform, the Chromium Single Cell 3′ Library and Gel Bead Kit v2 (PN-120237), Chromium Single Cell 3′ Chip kit v2 (PN-120236) and Chromium i7 Multiplex Kit (PN-120262) were used.",Set 1 (Illumina NextSeq 500),Basecalling performed by RTA version 1.12.4.2.,GPL18573,"Xin,Wei,Wang",xw3u@nih.gov,240-760-6858,Laboratory of Human Carcinogenesis,National Cancer Institute,37 Convent Drive,Bethesda,MARYLAND,20892-4255,USA,Illumina NextSeq 500,cDNA,transcriptomic,RNA-Seq,BioSample: https://www.ncbi.nlm.nih.gov/biosample/SAMN12643365,NONE,GSE125449,0
GSM4050089,S08_P03_LCP26,Public on Oct 06 2019,Aug 27 2019,Oct 06 2019,SRA,1,Primary liver cancer single-cell,Homo sapiens,9606,cancer type: Intrahepatic cholangiocarcinoma,total RNA,"Libraries were prepared according to 10x Genomics Single Cell 3′ v2 Reagent Kit user guide. Briefly, the samples were washed and re-suspended in PBS + 0.04% BSA. Sample viability was assessed and a final concentration of 1,200 cells/µl of sample was adjusted. The cDNAs was obtained after the GEM generation and barcoding, followed by GEM RT reaction and cleanup steps. Purified cDNA was amplified for 14 cycles before being cleaned up using SPRIselect beads (Beckman). Samples were then run on a Bioanalyzer (Agilent Technologies) to determine cDNA concentration. cDNA libraries were prepared as recommended by 10x Genomics V2 user guide with appropriate modifications to the PCR cycles based on the calculated cDNA concentration. For samples preparation on the 10x Genomics platform, the Chromium Single Cell 3′ Library and Gel Bead Kit v2 (PN-120237), Chromium Single Cell 3′ Chip kit v2 (PN-120236) and Chromium i7 Multiplex Kit (PN-120262) were used.",Set 1 (Illumina NextSeq 500),Basecalling performed by RTA version 1.12.4.2.,GPL18573,"Xin,Wei,Wang",xw3u@nih.gov,240-760-6858,Laboratory of Human Carcinogenesis,National Cancer Institute,37 Convent Drive,Bethesda,MARYLAND,20892-4255,USA,Illumina NextSeq 500,cDNA,transcriptomic,RNA-Seq,BioSample: https://www.ncbi.nlm.nih.gov/biosample/SAMN12643363,NONE,GSE125449,0
GSM4050090,S07_P02_LCP28,Public on Oct 06 2019,Aug 27 2019,Oct 06 2019,SRA,1,Primary liver cancer single-cell,Homo sapiens,9606,cancer type: Hepatocellular carcinoma,total RNA,"Libraries were prepared according to 10x Genomics Single Cell 3′ v2 Reagent Kit user guide. Briefly, the samples were washed and re-suspended in PBS + 0.04% BSA. Sample viability was assessed and a final concentration of 1,200 cells/µl of sample was adjusted. The cDNAs was obtained after the GEM generation and barcoding, followed by GEM RT reaction and cleanup steps. Purified cDNA was amplified for 14 cycles before being cleaned up using SPRIselect beads (Beckman). Samples were then run on a Bioanalyzer (Agilent Technologies) to determine cDNA concentration. cDNA libraries were prepared as recommended by 10x Genomics V2 user guide with appropriate modifications to the PCR cycles based on the calculated cDNA concentration. For samples preparation on the 10x Genomics platform, the Chromium Single Cell 3′ Library and Gel Bead Kit v2 (PN-120237), Chromium Single Cell 3′ Chip kit v2 (PN-120236) and Chromium i7 Multiplex Kit (PN-120262) were used.",Set 1 (Illumina NextSeq 500),Basecalling performed by RTA version 1.12.4.2.,GPL18573,"Xin,Wei,Wang",xw3u@nih.gov,240-760-6858,Laboratory of Human Carcinogenesis,National Cancer Institute,37 Convent Drive,Bethesda,MARYLAND,20892-4255,USA,Illumina NextSeq 500,cDNA,transcriptomic,RNA-Seq,BioSample: https://www.ncbi.nlm.nih.gov/biosample/SAMN12643361,NONE,GSE125449,0
GSM4050091,S11_P06_LCP29,Public on Oct 06 2019,Aug 27 2019,Oct 06 2019,SRA,1,Primary liver cancer single-cell,Homo sapiens,9606,cancer type: Intrahepatic cholangiocarcinoma,total RNA,"Libraries were prepared according to 10x Genomics Single Cell 3′ v2 Reagent Kit user guide. Briefly, the samples were washed and re-suspended in PBS + 0.04% BSA. Sample viability was assessed and a final concentration of 1,200 cells/µl of sample was adjusted. The cDNAs was obtained after the GEM generation and barcoding, followed by GEM RT reaction and cleanup steps. Purified cDNA was amplified for 14 cycles before being cleaned up using SPRIselect beads (Beckman). Samples were then run on a Bioanalyzer (Agilent Technologies) to determine cDNA concentration. cDNA libraries were prepared as recommended by 10x Genomics V2 user guide with appropriate modifications to the PCR cycles based on the calculated cDNA concentration. For samples preparation on the 10x Genomics platform, the Chromium Single Cell 3′ Library and Gel Bead Kit v2 (PN-120237), Chromium Single Cell 3′ Chip kit v2 (PN-120236) and Chromium i7 Multiplex Kit (PN-120262) were used.",Set 1 (Illumina NextSeq 500),Basecalling performed by RTA version 1.12.4.2.,GPL18573,"Xin,Wei,Wang",xw3u@nih.gov,240-760-6858,Laboratory of Human Carcinogenesis,National Cancer Institute,37 Convent Drive,Bethesda,MARYLAND,20892-4255,USA,Illumina NextSeq 500,cDNA,transcriptomic,RNA-Seq,BioSample: https://www.ncbi.nlm.nih.gov/biosample/SAMN12643360,NONE,GSE125449,0
GSM4050092,S12_P07_LCP30,Public on Oct 06 2019,Aug 27 2019,Oct 06 2019,SRA,1,Primary liver cancer single-cell,Homo sapiens,9606,cancer type: Hepatocellular carcinoma,total RNA,"Libraries were prepared according to 10x Genomics Single Cell 3′ v2 Reagent Kit user guide. Briefly, the samples were washed and re-suspended in PBS + 0.04% BSA. Sample viability was assessed and a final concentration of 1,200 cells/µl of sample was adjusted. The cDNAs was obtained after the GEM generation and barcoding, followed by GEM RT reaction and cleanup steps. Purified cDNA was amplified for 14 cycles before being cleaned up using SPRIselect beads (Beckman). Samples were then run on a Bioanalyzer (Agilent Technologies) to determine cDNA concentration. cDNA libraries were prepared as recommended by 10x Genomics V2 user guide with appropriate modifications to the PCR cycles based on the calculated cDNA concentration. For samples preparation on the 10x Genomics platform, the Chromium Single Cell 3′ Library and Gel Bead Kit v2 (PN-120237), Chromium Single Cell 3′ Chip kit v2 (PN-120236) and Chromium i7 Multiplex Kit (PN-120262) were used.",Set 1 (Illumina NextSeq 500),Basecalling performed by RTA version 1.12.4.2.,GPL18573,"Xin,Wei,Wang",xw3u@nih.gov,240-760-6858,Laboratory of Human Carcinogenesis,National Cancer Institute,37 Convent Drive,Bethesda,MARYLAND,20892-4255,USA,Illumina NextSeq 500,cDNA,transcriptomic,RNA-Seq,BioSample: https://www.ncbi.nlm.nih.gov/biosample/SAMN12643358,NONE,GSE125449,0
GSM4050093,S20_P12_LCP35,Public on Oct 06 2019,Aug 27 2019,Oct 06 2019,SRA,1,Primary liver cancer single-cell,Homo sapiens,9606,cancer type: Intrahepatic cholangiocarcinoma,total RNA,"Libraries were prepared according to 10x Genomics Single Cell 3′ v2 Reagent Kit user guide. Briefly, the samples were washed and re-suspended in PBS + 0.04% BSA. Sample viability was assessed and a final concentration of 1,200 cells/µl of sample was adjusted. The cDNAs was obtained after the GEM generation and barcoding, followed by GEM RT reaction and cleanup steps. Purified cDNA was amplified for 14 cycles before being cleaned up using SPRIselect beads (Beckman). Samples were then run on a Bioanalyzer (Agilent Technologies) to determine cDNA concentration. cDNA libraries were prepared as recommended by 10x Genomics V2 user guide with appropriate modifications to the PCR cycles based on the calculated cDNA concentration. For samples preparation on the 10x Genomics platform, the Chromium Single Cell 3′ Library and Gel Bead Kit v2 (PN-120237), Chromium Single Cell 3′ Chip kit v2 (PN-120236) and Chromium i7 Multiplex Kit (PN-120262) were used.",Set 1 (Illumina NextSeq 500),Basecalling performed by RTA version 1.12.4.2.,GPL18573,"Xin,Wei,Wang",xw3u@nih.gov,240-760-6858,Laboratory of Human Carcinogenesis,National Cancer Institute,37 Convent Drive,Bethesda,MARYLAND,20892-4255,USA,Illumina NextSeq 500,cDNA,transcriptomic,RNA-Seq,BioSample: https://www.ncbi.nlm.nih.gov/biosample/SAMN12643357,NONE,GSE125449,0
GSM4050094,S21_P13_LCP37,Public on Oct 06 2019,Aug 27 2019,Oct 06 2019,SRA,1,Primary liver cancer single-cell,Homo sapiens,9606,cancer type: Hepatocellular carcinoma,total RNA,"Libraries were prepared according to 10x Genomics Single Cell 3′ v2 Reagent Kit user guide. Briefly, the samples were washed and re-suspended in PBS + 0.04% BSA. Sample viability was assessed and a final concentration of 1,200 cells/µl of sample was adjusted. The cDNAs was obtained after the GEM generation and barcoding, followed by GEM RT reaction and cleanup steps. Purified cDNA was amplified for 14 cycles before being cleaned up using SPRIselect beads (Beckman). Samples were then run on a Bioanalyzer (Agilent Technologies) to determine cDNA concentration. cDNA libraries were prepared as recommended by 10x Genomics V2 user guide with appropriate modifications to the PCR cycles based on the calculated cDNA concentration. For samples preparation on the 10x Genomics platform, the Chromium Single Cell 3′ Library and Gel Bead Kit v2 (PN-120237), Chromium Single Cell 3′ Chip kit v2 (PN-120236) and Chromium i7 Multiplex Kit (PN-120262) were used.",Set 1 (Illumina NextSeq 500),Basecalling performed by RTA version 1.12.4.2.,GPL18573,"Xin,Wei,Wang",xw3u@nih.gov,240-760-6858,Laboratory of Human Carcinogenesis,National Cancer Institute,37 Convent Drive,Bethesda,MARYLAND,20892-4255,USA,Illumina NextSeq 500,cDNA,transcriptomic,RNA-Seq,BioSample: https://www.ncbi.nlm.nih.gov/biosample/SAMN12643355,NONE,GSE125449,0
