geo_accession,title,status,submission_date,last_update_date,type,channel_count,source_name_ch1,organism_ch1,taxid_ch1,characteristics_ch1,molecule_ch1,extract_protocol_ch1,description,data_processing,platform_id,contact_name,contact_email,contact_institute,contact_address,contact_city,contact_zip/postal_code,contact_country,instrument_model,library_selection,library_source,library_strategy,relation,supplementary_file_1,series_id,data_row_count
GSM4317409,S133_mRNA Sample 1,Public on Oct 19 2020,Feb 16 2020,Oct 19 2020,SRA,1,ESCC_tumors,Homo sapiens,9606,subject status: esophagus squamous cell carcinoma patient,total RNA,"Tissues-infiltrating immune cells from the paired fresh ESCC tumors and adjacent normal esophagus tissues were isolated by mincing the freshly obtained surgical specimens into 1-mm cubic pieces, followed by enzymatic digestion using 0.1% collagenase IV, 0.002% DNAse I, and 0.01% hyaluronidase, and were incubated on a rocker for 20–40 min at 37°C. The digested tissues were then passed through a 40 µm cell strainer and washed twice with PBS prior to surface staining with antibodies (CD45-APC, CD235-FITC) for 30 min at 4°C, and then washed and resuspended in 200 µL FACS buffer. PI was added 5 min before flow cytometry sorting for dead cell discrimination. CD45+ CD235- PI- cells were sorted with FACS Aria II Cell Sorter (BD Biosciences), post-sort purity was routinely > 95% for the sorted populations.",R3A5_S10_L002,"The 10x Genomics Cell Ranger (3.0.1 version) pipeline was used to demultiplex raw files into FASTQ files, extract barcodes and UMI, filter, and map reads to the hg38 reference genome, and generate a matrix containing UMI counts.",GPL24676,"zheyi,,chen","zheyi_chen0601@163.com, chenzheyi@sjtu.edu.cn",Shanghai Jiao Tong University School of Medicine,1665 Kong Jiang Road,Shanghai,200092,China,Illumina NovaSeq 6000,cDNA,transcriptomic,RNA-Seq,BioSample: https://www.ncbi.nlm.nih.gov/biosample/SAMN14118430,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM4317nnn/GSM4317409/suppl/GSM4317409_S133A_filtered_feature_bc_matrix.tar.gz,GSE145370,0
GSM4317410,S134_mRNA Sample 2,Public on Oct 19 2020,Feb 16 2020,Oct 19 2020,SRA,1,ESCC_tumors,Homo sapiens,9606,subject status: esophagus squamous cell carcinoma patient,total RNA,"Tissues-infiltrating immune cells from the paired fresh ESCC tumors and adjacent normal esophagus tissues were isolated by mincing the freshly obtained surgical specimens into 1-mm cubic pieces, followed by enzymatic digestion using 0.1% collagenase IV, 0.002% DNAse I, and 0.01% hyaluronidase, and were incubated on a rocker for 20–40 min at 37°C. The digested tissues were then passed through a 40 µm cell strainer and washed twice with PBS prior to surface staining with antibodies (CD45-APC, CD235-FITC) for 30 min at 4°C, and then washed and resuspended in 200 µL FACS buffer. PI was added 5 min before flow cytometry sorting for dead cell discrimination. CD45+ CD235- PI- cells were sorted with FACS Aria II Cell Sorter (BD Biosciences), post-sort purity was routinely > 95% for the sorted populations.",R4A5_S14_L002,"The 10x Genomics Cell Ranger (3.0.1 version) pipeline was used to demultiplex raw files into FASTQ files, extract barcodes and UMI, filter, and map reads to the hg38 reference genome, and generate a matrix containing UMI counts.",GPL24676,"zheyi,,chen","zheyi_chen0601@163.com, chenzheyi@sjtu.edu.cn",Shanghai Jiao Tong University School of Medicine,1665 Kong Jiang Road,Shanghai,200092,China,Illumina NovaSeq 6000,cDNA,transcriptomic,RNA-Seq,BioSample: https://www.ncbi.nlm.nih.gov/biosample/SAMN14118429,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM4317nnn/GSM4317410/suppl/GSM4317410_S134A_filtered_feature_bc_matrix.tar.gz,GSE145370,0
GSM4317411,S135_mRNA Sample 3,Public on Oct 19 2020,Feb 16 2020,Oct 19 2020,SRA,1,ESCC_tumors,Homo sapiens,9606,subject status: esophagus squamous cell carcinoma patient,total RNA,"Tissues-infiltrating immune cells from the paired fresh ESCC tumors and adjacent normal esophagus tissues were isolated by mincing the freshly obtained surgical specimens into 1-mm cubic pieces, followed by enzymatic digestion using 0.1% collagenase IV, 0.002% DNAse I, and 0.01% hyaluronidase, and were incubated on a rocker for 20–40 min at 37°C. The digested tissues were then passed through a 40 µm cell strainer and washed twice with PBS prior to surface staining with antibodies (CD45-APC, CD235-FITC) for 30 min at 4°C, and then washed and resuspended in 200 µL FACS buffer. PI was added 5 min before flow cytometry sorting for dead cell discrimination. CD45+ CD235- PI- cells were sorted with FACS Aria II Cell Sorter (BD Biosciences), post-sort purity was routinely > 95% for the sorted populations.",R5A5_S19_L003,"The 10x Genomics Cell Ranger (3.0.1 version) pipeline was used to demultiplex raw files into FASTQ files, extract barcodes and UMI, filter, and map reads to the hg38 reference genome, and generate a matrix containing UMI counts.",GPL24676,"zheyi,,chen","zheyi_chen0601@163.com, chenzheyi@sjtu.edu.cn",Shanghai Jiao Tong University School of Medicine,1665 Kong Jiang Road,Shanghai,200092,China,Illumina NovaSeq 6000,cDNA,transcriptomic,RNA-Seq,BioSample: https://www.ncbi.nlm.nih.gov/biosample/SAMN14118428,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM4317nnn/GSM4317411/suppl/GSM4317411_S135A_filtered_feature_bc_matrix.tar.gz,GSE145370,0
GSM4317412,S149_mRNA Sample 4,Public on Oct 19 2020,Feb 16 2020,Oct 19 2020,SRA,1,ESCC_tumors,Homo sapiens,9606,subject status: esophagus squamous cell carcinoma patient,total RNA,"Tissues-infiltrating immune cells from the paired fresh ESCC tumors and adjacent normal esophagus tissues were isolated by mincing the freshly obtained surgical specimens into 1-mm cubic pieces, followed by enzymatic digestion using 0.1% collagenase IV, 0.002% DNAse I, and 0.01% hyaluronidase, and were incubated on a rocker for 20–40 min at 37°C. The digested tissues were then passed through a 40 µm cell strainer and washed twice with PBS prior to surface staining with antibodies (CD45-APC, CD235-FITC) for 30 min at 4°C, and then washed and resuspended in 200 µL FACS buffer. PI was added 5 min before flow cytometry sorting for dead cell discrimination. CD45+ CD235- PI- cells were sorted with FACS Aria II Cell Sorter (BD Biosciences), post-sort purity was routinely > 95% for the sorted populations.",S149A5_S5_L004,"The 10x Genomics Cell Ranger (3.0.1 version) pipeline was used to demultiplex raw files into FASTQ files, extract barcodes and UMI, filter, and map reads to the hg38 reference genome, and generate a matrix containing UMI counts.",GPL24676,"zheyi,,chen","zheyi_chen0601@163.com, chenzheyi@sjtu.edu.cn",Shanghai Jiao Tong University School of Medicine,1665 Kong Jiang Road,Shanghai,200092,China,Illumina NovaSeq 6000,cDNA,transcriptomic,RNA-Seq,BioSample: https://www.ncbi.nlm.nih.gov/biosample/SAMN14118427,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM4317nnn/GSM4317412/suppl/GSM4317412_S149A_filtered_feature_bc_matrix.tar.gz,GSE145370,0
GSM4317413,S150_mRNA Sample 5,Public on Oct 19 2020,Feb 16 2020,Oct 19 2020,SRA,1,ESCC_tumors,Homo sapiens,9606,subject status: esophagus squamous cell carcinoma patient,total RNA,"Tissues-infiltrating immune cells from the paired fresh ESCC tumors and adjacent normal esophagus tissues were isolated by mincing the freshly obtained surgical specimens into 1-mm cubic pieces, followed by enzymatic digestion using 0.1% collagenase IV, 0.002% DNAse I, and 0.01% hyaluronidase, and were incubated on a rocker for 20–40 min at 37°C. The digested tissues were then passed through a 40 µm cell strainer and washed twice with PBS prior to surface staining with antibodies (CD45-APC, CD235-FITC) for 30 min at 4°C, and then washed and resuspended in 200 µL FACS buffer. PI was added 5 min before flow cytometry sorting for dead cell discrimination. CD45+ CD235- PI- cells were sorted with FACS Aria II Cell Sorter (BD Biosciences), post-sort purity was routinely > 95% for the sorted populations.",S150A5_S9_L00*,"The 10x Genomics Cell Ranger (3.0.1 version) pipeline was used to demultiplex raw files into FASTQ files, extract barcodes and UMI, filter, and map reads to the hg38 reference genome, and generate a matrix containing UMI counts.",GPL24676,"zheyi,,chen","zheyi_chen0601@163.com, chenzheyi@sjtu.edu.cn",Shanghai Jiao Tong University School of Medicine,1665 Kong Jiang Road,Shanghai,200092,China,Illumina NovaSeq 6000,cDNA,transcriptomic,RNA-Seq,BioSample: https://www.ncbi.nlm.nih.gov/biosample/SAMN14118426,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM4317nnn/GSM4317413/suppl/GSM4317413_S150A_filtered_feature_bc_matrix.tar.gz,GSE145370,0
GSM4317414,S158_mRNA Sample 6,Public on Oct 19 2020,Feb 16 2020,Oct 19 2020,SRA,1,ESCC_tumors,Homo sapiens,9606,subject status: esophagus squamous cell carcinoma patient,total RNA,"Tissues-infiltrating immune cells from the paired fresh ESCC tumors and adjacent normal esophagus tissues were isolated by mincing the freshly obtained surgical specimens into 1-mm cubic pieces, followed by enzymatic digestion using 0.1% collagenase IV, 0.002% DNAse I, and 0.01% hyaluronidase, and were incubated on a rocker for 20–40 min at 37°C. The digested tissues were then passed through a 40 µm cell strainer and washed twice with PBS prior to surface staining with antibodies (CD45-APC, CD235-FITC) for 30 min at 4°C, and then washed and resuspended in 200 µL FACS buffer. PI was added 5 min before flow cytometry sorting for dead cell discrimination. CD45+ CD235- PI- cells were sorted with FACS Aria II Cell Sorter (BD Biosciences), post-sort purity was routinely > 95% for the sorted populations.",S158A5_S12_L002,"The 10x Genomics Cell Ranger (3.0.1 version) pipeline was used to demultiplex raw files into FASTQ files, extract barcodes and UMI, filter, and map reads to the hg38 reference genome, and generate a matrix containing UMI counts.",GPL24676,"zheyi,,chen","zheyi_chen0601@163.com, chenzheyi@sjtu.edu.cn",Shanghai Jiao Tong University School of Medicine,1665 Kong Jiang Road,Shanghai,200092,China,Illumina NovaSeq 6000,cDNA,transcriptomic,RNA-Seq,BioSample: https://www.ncbi.nlm.nih.gov/biosample/SAMN14118425,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM4317nnn/GSM4317414/suppl/GSM4317414_S158A_filtered_feature_bc_matrix.tar.gz,GSE145370,0
GSM4317415,S159_mRNA Sample 7,Public on Oct 19 2020,Feb 16 2020,Oct 19 2020,SRA,1,ESCC_tumors,Homo sapiens,9606,subject status: esophagus squamous cell carcinoma patient,total RNA,"Tissues-infiltrating immune cells from the paired fresh ESCC tumors and adjacent normal esophagus tissues were isolated by mincing the freshly obtained surgical specimens into 1-mm cubic pieces, followed by enzymatic digestion using 0.1% collagenase IV, 0.002% DNAse I, and 0.01% hyaluronidase, and were incubated on a rocker for 20–40 min at 37°C. The digested tissues were then passed through a 40 µm cell strainer and washed twice with PBS prior to surface staining with antibodies (CD45-APC, CD235-FITC) for 30 min at 4°C, and then washed and resuspended in 200 µL FACS buffer. PI was added 5 min before flow cytometry sorting for dead cell discrimination. CD45+ CD235- PI- cells were sorted with FACS Aria II Cell Sorter (BD Biosciences), post-sort purity was routinely > 95% for the sorted populations.",S159A5_S7_L001,"The 10x Genomics Cell Ranger (3.0.1 version) pipeline was used to demultiplex raw files into FASTQ files, extract barcodes and UMI, filter, and map reads to the hg38 reference genome, and generate a matrix containing UMI counts.",GPL24676,"zheyi,,chen","zheyi_chen0601@163.com, chenzheyi@sjtu.edu.cn",Shanghai Jiao Tong University School of Medicine,1665 Kong Jiang Road,Shanghai,200092,China,Illumina NovaSeq 6000,cDNA,transcriptomic,RNA-Seq,BioSample: https://www.ncbi.nlm.nih.gov/biosample/SAMN14118424,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM4317nnn/GSM4317415/suppl/GSM4317415_S159A_filtered_feature_bc_matrix.tar.gz,GSE145370,0
GSM4317416,S133_mRNA Sample 8,Public on Oct 19 2020,Feb 16 2020,Oct 19 2020,SRA,1,ESCC_adjacent normal tissue,Homo sapiens,9606,subject status: esophagus squamous cell carcinoma patient,total RNA,"Tissues-infiltrating immune cells from the paired fresh ESCC tumors and adjacent normal esophagus tissues were isolated by mincing the freshly obtained surgical specimens into 1-mm cubic pieces, followed by enzymatic digestion using 0.1% collagenase IV, 0.002% DNAse I, and 0.01% hyaluronidase, and were incubated on a rocker for 20–40 min at 37°C. The digested tissues were then passed through a 40 µm cell strainer and washed twice with PBS prior to surface staining with antibodies (CD45-APC, CD235-FITC) for 30 min at 4°C, and then washed and resuspended in 200 µL FACS buffer. PI was added 5 min before flow cytometry sorting for dead cell discrimination. CD45+ CD235- PI- cells were sorted with FACS Aria II Cell Sorter (BD Biosciences), post-sort purity was routinely > 95% for the sorted populations.",R3B5_S11_L002,"The 10x Genomics Cell Ranger (3.0.1 version) pipeline was used to demultiplex raw files into FASTQ files, extract barcodes and UMI, filter, and map reads to the hg38 reference genome, and generate a matrix containing UMI counts.",GPL24676,"zheyi,,chen","zheyi_chen0601@163.com, chenzheyi@sjtu.edu.cn",Shanghai Jiao Tong University School of Medicine,1665 Kong Jiang Road,Shanghai,200092,China,Illumina NovaSeq 6000,cDNA,transcriptomic,RNA-Seq,BioSample: https://www.ncbi.nlm.nih.gov/biosample/SAMN14118423,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM4317nnn/GSM4317416/suppl/GSM4317416_S133B_filtered_feature_bc_matrix.tar.gz,GSE145370,0
GSM4317417,S134_mRNA Sample 9,Public on Oct 19 2020,Feb 16 2020,Oct 19 2020,SRA,1,ESCC_adjacent normal tissue,Homo sapiens,9606,subject status: esophagus squamous cell carcinoma patient,total RNA,"Tissues-infiltrating immune cells from the paired fresh ESCC tumors and adjacent normal esophagus tissues were isolated by mincing the freshly obtained surgical specimens into 1-mm cubic pieces, followed by enzymatic digestion using 0.1% collagenase IV, 0.002% DNAse I, and 0.01% hyaluronidase, and were incubated on a rocker for 20–40 min at 37°C. The digested tissues were then passed through a 40 µm cell strainer and washed twice with PBS prior to surface staining with antibodies (CD45-APC, CD235-FITC) for 30 min at 4°C, and then washed and resuspended in 200 µL FACS buffer. PI was added 5 min before flow cytometry sorting for dead cell discrimination. CD45+ CD235- PI- cells were sorted with FACS Aria II Cell Sorter (BD Biosciences), post-sort purity was routinely > 95% for the sorted populations.",R4B5_S15_L002,"The 10x Genomics Cell Ranger (3.0.1 version) pipeline was used to demultiplex raw files into FASTQ files, extract barcodes and UMI, filter, and map reads to the hg38 reference genome, and generate a matrix containing UMI counts.",GPL24676,"zheyi,,chen","zheyi_chen0601@163.com, chenzheyi@sjtu.edu.cn",Shanghai Jiao Tong University School of Medicine,1665 Kong Jiang Road,Shanghai,200092,China,Illumina NovaSeq 6000,cDNA,transcriptomic,RNA-Seq,BioSample: https://www.ncbi.nlm.nih.gov/biosample/SAMN14118422,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM4317nnn/GSM4317417/suppl/GSM4317417_S134B_filtered_feature_bc_matrix.tar.gz,GSE145370,0
GSM4317418,S135_mRNA Sample 10,Public on Oct 19 2020,Feb 16 2020,Oct 19 2020,SRA,1,ESCC_adjacent normal tissue,Homo sapiens,9606,subject status: esophagus squamous cell carcinoma patient,total RNA,"Tissues-infiltrating immune cells from the paired fresh ESCC tumors and adjacent normal esophagus tissues were isolated by mincing the freshly obtained surgical specimens into 1-mm cubic pieces, followed by enzymatic digestion using 0.1% collagenase IV, 0.002% DNAse I, and 0.01% hyaluronidase, and were incubated on a rocker for 20–40 min at 37°C. The digested tissues were then passed through a 40 µm cell strainer and washed twice with PBS prior to surface staining with antibodies (CD45-APC, CD235-FITC) for 30 min at 4°C, and then washed and resuspended in 200 µL FACS buffer. PI was added 5 min before flow cytometry sorting for dead cell discrimination. CD45+ CD235- PI- cells were sorted with FACS Aria II Cell Sorter (BD Biosciences), post-sort purity was routinely > 95% for the sorted populations.",R5B5_S20_L003,"The 10x Genomics Cell Ranger (3.0.1 version) pipeline was used to demultiplex raw files into FASTQ files, extract barcodes and UMI, filter, and map reads to the hg38 reference genome, and generate a matrix containing UMI counts.",GPL24676,"zheyi,,chen","zheyi_chen0601@163.com, chenzheyi@sjtu.edu.cn",Shanghai Jiao Tong University School of Medicine,1665 Kong Jiang Road,Shanghai,200092,China,Illumina NovaSeq 6000,cDNA,transcriptomic,RNA-Seq,BioSample: https://www.ncbi.nlm.nih.gov/biosample/SAMN14118421,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM4317nnn/GSM4317418/suppl/GSM4317418_S135B_filtered_feature_bc_matrix.tar.gz,GSE145370,0
