geo_accession,title,status,submission_date,last_update_date,type,channel_count,source_name_ch1,organism_ch1,taxid_ch1,characteristics_ch1,molecule_ch1,extract_protocol_ch1,description,data_processing,platform_id,contact_name,contact_email,contact_institute,contact_address,contact_city,contact_zip/postal_code,contact_country,instrument_model,library_selection,library_source,library_strategy,relation,supplementary_file_1,supplementary_file_2,series_id,data_row_count
GSM4743190,BC.P20190403,Public on Dec 16 2021,Aug 24 2020,Dec 16 2021,SRA,1,BC,Homo sapiens,9606,"tissue: Tumor, Adjacent-normal",polyA RNA,"Tumors and adjacent normal tissues were cut into approximately 1-2 mm3 pieces in the RPMI-1640 medium (Gibco) with 10% fetal bovine serum (FBS, Gibco), and enzymatically digested with gentleMACS (Miltenyi) for 60 min on a rotor at 37°C, according to manufacturer’s instruction. The dissociated cells were subsequently passed through a 100 µm SmartStrainer and centrifuged at 400 g for 5 min. After the supernatant was removed, the pelleted cells were suspended in red blood cell lysis buffer (TIANDZ) and incubated on ice for 1-2 min to lyse red blood cells. After washing twice with 1× PBS (Gibco), the cell pellets were re-suspended in sorting buffer (PBS supplemented with 1% FBS).",processed data file:,"For 10X data, Cell Ranger 3.0.0 was used to quantify gene expression level and to identify TCR sequences.",GPL20795,"Shishang,,Qin",qinshishang@pku.edu.cn,Peking university,"No.5 Yiheyuan Road, Haidian District",Beijing,100000,China,HiSeq X Ten,cDNA,transcriptomic,RNA-Seq,BioSample: https://www.ncbi.nlm.nih.gov/biosample/SAMN15892821,NONE,GSE156728,0,
GSM4743191,BC.P20190123,Public on Dec 16 2021,Aug 24 2020,Dec 16 2021,SRA,1,BC,Homo sapiens,9606,"tissue: Tumor, Adjacent-normal",polyA RNA,"Tumors and adjacent normal tissues were cut into approximately 1-2 mm3 pieces in the RPMI-1640 medium (Gibco) with 10% fetal bovine serum (FBS, Gibco), and enzymatically digested with gentleMACS (Miltenyi) for 60 min on a rotor at 37°C, according to manufacturer’s instruction. The dissociated cells were subsequently passed through a 100 µm SmartStrainer and centrifuged at 400 g for 5 min. After the supernatant was removed, the pelleted cells were suspended in red blood cell lysis buffer (TIANDZ) and incubated on ice for 1-2 min to lyse red blood cells. After washing twice with 1× PBS (Gibco), the cell pellets were re-suspended in sorting buffer (PBS supplemented with 1% FBS).",processed data file:,"For 10X data, Cell Ranger 3.0.0 was used to quantify gene expression level and to identify TCR sequences.",GPL20795,"Shishang,,Qin",qinshishang@pku.edu.cn,Peking university,"No.5 Yiheyuan Road, Haidian District",Beijing,100000,China,HiSeq X Ten,cDNA,transcriptomic,RNA-Seq,BioSample: https://www.ncbi.nlm.nih.gov/biosample/SAMN15892820,NONE,GSE156728,0,
GSM4743192,ESCA.P20190404,Public on Dec 16 2021,Aug 24 2020,Dec 16 2021,SRA,1,ESCA,Homo sapiens,9606,"tissue: Tumor, Adjacent-normal",polyA RNA,"Tumors and adjacent normal tissues were cut into approximately 1-2 mm3 pieces in the RPMI-1640 medium (Gibco) with 10% fetal bovine serum (FBS, Gibco), and enzymatically digested with gentleMACS (Miltenyi) for 60 min on a rotor at 37°C, according to manufacturer’s instruction. The dissociated cells were subsequently passed through a 100 µm SmartStrainer and centrifuged at 400 g for 5 min. After the supernatant was removed, the pelleted cells were suspended in red blood cell lysis buffer (TIANDZ) and incubated on ice for 1-2 min to lyse red blood cells. After washing twice with 1× PBS (Gibco), the cell pellets were re-suspended in sorting buffer (PBS supplemented with 1% FBS).",processed data file:,"For 10X data, Cell Ranger 3.0.0 was used to quantify gene expression level and to identify TCR sequences.",GPL20795,"Shishang,,Qin",qinshishang@pku.edu.cn,Peking university,"No.5 Yiheyuan Road, Haidian District",Beijing,100000,China,HiSeq X Ten,cDNA,transcriptomic,RNA-Seq,BioSample: https://www.ncbi.nlm.nih.gov/biosample/SAMN15892819,NONE,GSE156728,0,
GSM4743193,ESCA.P20190410,Public on Dec 16 2021,Aug 24 2020,Dec 16 2021,SRA,1,ESCA,Homo sapiens,9606,"tissue: Tumor, Adjacent-normal",polyA RNA,"Tumors and adjacent normal tissues were cut into approximately 1-2 mm3 pieces in the RPMI-1640 medium (Gibco) with 10% fetal bovine serum (FBS, Gibco), and enzymatically digested with gentleMACS (Miltenyi) for 60 min on a rotor at 37°C, according to manufacturer’s instruction. The dissociated cells were subsequently passed through a 100 µm SmartStrainer and centrifuged at 400 g for 5 min. After the supernatant was removed, the pelleted cells were suspended in red blood cell lysis buffer (TIANDZ) and incubated on ice for 1-2 min to lyse red blood cells. After washing twice with 1× PBS (Gibco), the cell pellets were re-suspended in sorting buffer (PBS supplemented with 1% FBS).",processed data file:,"For 10X data, Cell Ranger 3.0.0 was used to quantify gene expression level and to identify TCR sequences.",GPL20795,"Shishang,,Qin",qinshishang@pku.edu.cn,Peking university,"No.5 Yiheyuan Road, Haidian District",Beijing,100000,China,HiSeq X Ten,cDNA,transcriptomic,RNA-Seq,BioSample: https://www.ncbi.nlm.nih.gov/biosample/SAMN15892818,NONE,GSE156728,0,
GSM4743194,ESCA.P20190411,Public on Dec 16 2021,Aug 24 2020,Dec 16 2021,SRA,1,ESCA,Homo sapiens,9606,"tissue: Tumor, Adjacent-normal",polyA RNA,"Tumors and adjacent normal tissues were cut into approximately 1-2 mm3 pieces in the RPMI-1640 medium (Gibco) with 10% fetal bovine serum (FBS, Gibco), and enzymatically digested with gentleMACS (Miltenyi) for 60 min on a rotor at 37°C, according to manufacturer’s instruction. The dissociated cells were subsequently passed through a 100 µm SmartStrainer and centrifuged at 400 g for 5 min. After the supernatant was removed, the pelleted cells were suspended in red blood cell lysis buffer (TIANDZ) and incubated on ice for 1-2 min to lyse red blood cells. After washing twice with 1× PBS (Gibco), the cell pellets were re-suspended in sorting buffer (PBS supplemented with 1% FBS).",processed data file:,"For 10X data, Cell Ranger 3.0.0 was used to quantify gene expression level and to identify TCR sequences.",GPL20795,"Shishang,,Qin",qinshishang@pku.edu.cn,Peking university,"No.5 Yiheyuan Road, Haidian District",Beijing,100000,China,HiSeq X Ten,cDNA,transcriptomic,RNA-Seq,BioSample: https://www.ncbi.nlm.nih.gov/biosample/SAMN15892817,NONE,GSE156728,0,
GSM4743195,ESCA.P20181114,Public on Dec 16 2021,Aug 24 2020,Dec 16 2021,SRA,1,ESCA,Homo sapiens,9606,"tissue: Tumor, Adjacent-normal",polyA RNA,"Tumors and adjacent normal tissues were cut into approximately 1-2 mm3 pieces in the RPMI-1640 medium (Gibco) with 10% fetal bovine serum (FBS, Gibco), and enzymatically digested with gentleMACS (Miltenyi) for 60 min on a rotor at 37°C, according to manufacturer’s instruction. The dissociated cells were subsequently passed through a 100 µm SmartStrainer and centrifuged at 400 g for 5 min. After the supernatant was removed, the pelleted cells were suspended in red blood cell lysis buffer (TIANDZ) and incubated on ice for 1-2 min to lyse red blood cells. After washing twice with 1× PBS (Gibco), the cell pellets were re-suspended in sorting buffer (PBS supplemented with 1% FBS).",processed data file:,"For 10X data, Cell Ranger 3.0.0 was used to quantify gene expression level and to identify TCR sequences.",GPL20795,"Shishang,,Qin",qinshishang@pku.edu.cn,Peking university,"No.5 Yiheyuan Road, Haidian District",Beijing,100000,China,HiSeq X Ten,cDNA,transcriptomic,RNA-Seq,BioSample: https://www.ncbi.nlm.nih.gov/biosample/SAMN15892816,NONE,GSE156728,0,
GSM4743196,ESCA.P20181123,Public on Dec 16 2021,Aug 24 2020,Dec 16 2021,SRA,1,ESCA,Homo sapiens,9606,"tissue: Tumor, Adjacent-normal",polyA RNA,"Tumors and adjacent normal tissues were cut into approximately 1-2 mm3 pieces in the RPMI-1640 medium (Gibco) with 10% fetal bovine serum (FBS, Gibco), and enzymatically digested with gentleMACS (Miltenyi) for 60 min on a rotor at 37°C, according to manufacturer’s instruction. The dissociated cells were subsequently passed through a 100 µm SmartStrainer and centrifuged at 400 g for 5 min. After the supernatant was removed, the pelleted cells were suspended in red blood cell lysis buffer (TIANDZ) and incubated on ice for 1-2 min to lyse red blood cells. After washing twice with 1× PBS (Gibco), the cell pellets were re-suspended in sorting buffer (PBS supplemented with 1% FBS).",processed data file:,"For 10X data, Cell Ranger 3.0.0 was used to quantify gene expression level and to identify TCR sequences.",GPL20795,"Shishang,,Qin",qinshishang@pku.edu.cn,Peking university,"No.5 Yiheyuan Road, Haidian District",Beijing,100000,China,HiSeq X Ten,cDNA,transcriptomic,RNA-Seq,BioSample: https://www.ncbi.nlm.nih.gov/biosample/SAMN15892815,NONE,GSE156728,0,
GSM4743197,ESCA.P20190613,Public on Dec 16 2021,Aug 24 2020,Dec 16 2021,SRA,1,ESCA,Homo sapiens,9606,"tissue: Tumor, Adjacent-normal",polyA RNA,"Tumors and adjacent normal tissues were cut into approximately 1-2 mm3 pieces in the RPMI-1640 medium (Gibco) with 10% fetal bovine serum (FBS, Gibco), and enzymatically digested with gentleMACS (Miltenyi) for 60 min on a rotor at 37°C, according to manufacturer’s instruction. The dissociated cells were subsequently passed through a 100 µm SmartStrainer and centrifuged at 400 g for 5 min. After the supernatant was removed, the pelleted cells were suspended in red blood cell lysis buffer (TIANDZ) and incubated on ice for 1-2 min to lyse red blood cells. After washing twice with 1× PBS (Gibco), the cell pellets were re-suspended in sorting buffer (PBS supplemented with 1% FBS).",processed data file:,"For 10X data, Cell Ranger 3.0.0 was used to quantify gene expression level and to identify TCR sequences.",GPL20795,"Shishang,,Qin",qinshishang@pku.edu.cn,Peking university,"No.5 Yiheyuan Road, Haidian District",Beijing,100000,China,HiSeq X Ten,cDNA,transcriptomic,RNA-Seq,BioSample: https://www.ncbi.nlm.nih.gov/biosample/SAMN15892814,NONE,GSE156728,0,
GSM4743198,ESCA.P20190916,Public on Dec 16 2021,Aug 24 2020,Dec 16 2021,SRA,1,ESCA,Homo sapiens,9606,"tissue: Tumor, Adjacent-normal",polyA RNA,"Tumors and adjacent normal tissues were cut into approximately 1-2 mm3 pieces in the RPMI-1640 medium (Gibco) with 10% fetal bovine serum (FBS, Gibco), and enzymatically digested with gentleMACS (Miltenyi) for 60 min on a rotor at 37°C, according to manufacturer’s instruction. The dissociated cells were subsequently passed through a 100 µm SmartStrainer and centrifuged at 400 g for 5 min. After the supernatant was removed, the pelleted cells were suspended in red blood cell lysis buffer (TIANDZ) and incubated on ice for 1-2 min to lyse red blood cells. After washing twice with 1× PBS (Gibco), the cell pellets were re-suspended in sorting buffer (PBS supplemented with 1% FBS).",processed data file:,"For 10X data, Cell Ranger 3.0.0 was used to quantify gene expression level and to identify TCR sequences.",GPL20795,"Shishang,,Qin",qinshishang@pku.edu.cn,Peking university,"No.5 Yiheyuan Road, Haidian District",Beijing,100000,China,HiSeq X Ten,cDNA,transcriptomic,RNA-Seq,BioSample: https://www.ncbi.nlm.nih.gov/biosample/SAMN15892813,NONE,GSE156728,0,
GSM4743199,OV.P20190304,Public on Dec 16 2021,Aug 24 2020,Dec 16 2021,SRA,1,OV,Homo sapiens,9606,"tissue: Tumor, Adjacent-normal",polyA RNA,"Tumors and adjacent normal tissues were cut into approximately 1-2 mm3 pieces in the RPMI-1640 medium (Gibco) with 10% fetal bovine serum (FBS, Gibco), and enzymatically digested with gentleMACS (Miltenyi) for 60 min on a rotor at 37°C, according to manufacturer’s instruction. The dissociated cells were subsequently passed through a 100 µm SmartStrainer and centrifuged at 400 g for 5 min. After the supernatant was removed, the pelleted cells were suspended in red blood cell lysis buffer (TIANDZ) and incubated on ice for 1-2 min to lyse red blood cells. After washing twice with 1× PBS (Gibco), the cell pellets were re-suspended in sorting buffer (PBS supplemented with 1% FBS).",processed data file:,"For 10X data, Cell Ranger 3.0.0 was used to quantify gene expression level and to identify TCR sequences.",GPL20795,"Shishang,,Qin",qinshishang@pku.edu.cn,Peking university,"No.5 Yiheyuan Road, Haidian District",Beijing,100000,China,HiSeq X Ten,cDNA,transcriptomic,RNA-Seq,BioSample: https://www.ncbi.nlm.nih.gov/biosample/SAMN15892812,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM4743nnn/GSM4743199/suppl/GSM4743199_OV_10X.CD4.counts.txt.gz,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM4743nnn/GSM4743199/suppl/GSM4743199_OV_10X.CD8.counts.txt.gz,GSE156728,0
