geo_accession,title,status,submission_date,last_update_date,type,channel_count,source_name_ch1,organism_ch1,taxid_ch1,characteristics_ch1,molecule_ch1,extract_protocol_ch1,data_processing,platform_id,contact_name,contact_email,contact_phone,contact_laboratory,contact_institute,contact_address,contact_city,contact_state,contact_zip/postal_code,contact_country,instrument_model,library_selection,library_source,library_strategy,relation,supplementary_file_1,series_id,data_row_count
GSM4929845,NPC_SC_1802_PBMC_cDNA,Public on Nov 24 2020,Nov 23 2020,Nov 24 2020,SRA,1,NPC_SC_1802_PBMC,Homo sapiens,9606,subject/sample id: 1802,polyA RNA,Viable single cells were prepared from the PBMC and tumor of 10 nasopharyngeal carcinoma patients.,Illumina-implemented software bcl2fastq (version v2.19.0.316) was used for basecalling.,GPL20795,"Jin-Xin,,Bei",beijx@sysucc.org.cn,86 020 8734 3189,Bei-lab,Sun Yat-sen University Cancer Center,"651 Dongfeng Road East, Yuexiu District, Guanzhou, P.R. China",Guangzhou,Guangdong,510060,China,HiSeq X Ten,cDNA,transcriptomic,RNA-Seq,BioSample: https://www.ncbi.nlm.nih.gov/biosample/SAMN16874524,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM4929nnn/GSM4929845/suppl/GSM4929845_NPC_SC_1802_PBMC_count.csv.gz,GSE162025,0
GSM4929846,NPC_SC_1802_Tumor_cDNA,Public on Nov 24 2020,Nov 23 2020,Nov 24 2020,SRA,1,NPC_SC_1802_Tumor,Homo sapiens,9606,subject/sample id: 1802,polyA RNA,Viable single cells were prepared from the PBMC and tumor of 10 nasopharyngeal carcinoma patients.,Illumina-implemented software bcl2fastq (version v2.19.0.316) was used for basecalling.,GPL20795,"Jin-Xin,,Bei",beijx@sysucc.org.cn,86 020 8734 3189,Bei-lab,Sun Yat-sen University Cancer Center,"651 Dongfeng Road East, Yuexiu District, Guanzhou, P.R. China",Guangzhou,Guangdong,510060,China,HiSeq X Ten,cDNA,transcriptomic,RNA-Seq,BioSample: https://www.ncbi.nlm.nih.gov/biosample/SAMN16874523,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM4929nnn/GSM4929846/suppl/GSM4929846_NPC_SC_1802_Tumor_count.csv.gz,GSE162025,0
GSM4929847,NPC_SC_1805_PBMC_cDNA,Public on Nov 24 2020,Nov 23 2020,Nov 24 2020,SRA,1,NPC_SC_1805_PBMC,Homo sapiens,9606,subject/sample id: 1805,polyA RNA,Viable single cells were prepared from the PBMC and tumor of 10 nasopharyngeal carcinoma patients.,Illumina-implemented software bcl2fastq (version v2.19.0.316) was used for basecalling.,GPL20795,"Jin-Xin,,Bei",beijx@sysucc.org.cn,86 020 8734 3189,Bei-lab,Sun Yat-sen University Cancer Center,"651 Dongfeng Road East, Yuexiu District, Guanzhou, P.R. China",Guangzhou,Guangdong,510060,China,HiSeq X Ten,cDNA,transcriptomic,RNA-Seq,BioSample: https://www.ncbi.nlm.nih.gov/biosample/SAMN16874522,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM4929nnn/GSM4929847/suppl/GSM4929847_NPC_SC_1805_PBMC_count.csv.gz,GSE162025,0
GSM4929848,NPC_SC_1805_Tumor_cDNA,Public on Nov 24 2020,Nov 23 2020,Nov 24 2020,SRA,1,NPC_SC_1805_Tumor,Homo sapiens,9606,subject/sample id: 1805,polyA RNA,Viable single cells were prepared from the PBMC and tumor of 10 nasopharyngeal carcinoma patients.,Illumina-implemented software bcl2fastq (version v2.19.0.316) was used for basecalling.,GPL20795,"Jin-Xin,,Bei",beijx@sysucc.org.cn,86 020 8734 3189,Bei-lab,Sun Yat-sen University Cancer Center,"651 Dongfeng Road East, Yuexiu District, Guanzhou, P.R. China",Guangzhou,Guangdong,510060,China,HiSeq X Ten,cDNA,transcriptomic,RNA-Seq,BioSample: https://www.ncbi.nlm.nih.gov/biosample/SAMN16874521,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM4929nnn/GSM4929848/suppl/GSM4929848_NPC_SC_1805_Tumor_count.csv.gz,GSE162025,0
GSM4929849,NPC_SC_1806_PBMC_cDNA,Public on Nov 24 2020,Nov 23 2020,Nov 24 2020,SRA,1,NPC_SC_1806_PBMC,Homo sapiens,9606,subject/sample id: 1806,polyA RNA,Viable single cells were prepared from the PBMC and tumor of 10 nasopharyngeal carcinoma patients.,Illumina-implemented software bcl2fastq (version v2.19.0.316) was used for basecalling.,GPL20795,"Jin-Xin,,Bei",beijx@sysucc.org.cn,86 020 8734 3189,Bei-lab,Sun Yat-sen University Cancer Center,"651 Dongfeng Road East, Yuexiu District, Guanzhou, P.R. China",Guangzhou,Guangdong,510060,China,HiSeq X Ten,cDNA,transcriptomic,RNA-Seq,BioSample: https://www.ncbi.nlm.nih.gov/biosample/SAMN16874520,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM4929nnn/GSM4929849/suppl/GSM4929849_NPC_SC_1806_PBMC_count.csv.gz,GSE162025,0
GSM4929850,NPC_SC_1806_Tumor_cDNA,Public on Nov 24 2020,Nov 23 2020,Nov 24 2020,SRA,1,NPC_SC_1806_Tumor,Homo sapiens,9606,subject/sample id: 1806,polyA RNA,Viable single cells were prepared from the PBMC and tumor of 10 nasopharyngeal carcinoma patients.,Illumina-implemented software bcl2fastq (version v2.19.0.316) was used for basecalling.,GPL20795,"Jin-Xin,,Bei",beijx@sysucc.org.cn,86 020 8734 3189,Bei-lab,Sun Yat-sen University Cancer Center,"651 Dongfeng Road East, Yuexiu District, Guanzhou, P.R. China",Guangzhou,Guangdong,510060,China,HiSeq X Ten,cDNA,transcriptomic,RNA-Seq,BioSample: https://www.ncbi.nlm.nih.gov/biosample/SAMN16874519,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM4929nnn/GSM4929850/suppl/GSM4929850_NPC_SC_1806_Tumor_count.csv.gz,GSE162025,0
GSM4929851,NPC_SC_1807_PBMC_cDNA,Public on Nov 24 2020,Nov 23 2020,Nov 24 2020,SRA,1,NPC_SC_1807_PBMC,Homo sapiens,9606,subject/sample id: 1807,polyA RNA,Viable single cells were prepared from the PBMC and tumor of 10 nasopharyngeal carcinoma patients.,Illumina-implemented software bcl2fastq (version v2.19.0.316) was used for basecalling.,GPL20795,"Jin-Xin,,Bei",beijx@sysucc.org.cn,86 020 8734 3189,Bei-lab,Sun Yat-sen University Cancer Center,"651 Dongfeng Road East, Yuexiu District, Guanzhou, P.R. China",Guangzhou,Guangdong,510060,China,HiSeq X Ten,cDNA,transcriptomic,RNA-Seq,BioSample: https://www.ncbi.nlm.nih.gov/biosample/SAMN16874518,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM4929nnn/GSM4929851/suppl/GSM4929851_NPC_SC_1807_PBMC_count.csv.gz,GSE162025,0
GSM4929852,NPC_SC_1807_Tumor_cDNA,Public on Nov 24 2020,Nov 23 2020,Nov 24 2020,SRA,1,NPC_SC_1807_Tumor,Homo sapiens,9606,subject/sample id: 1807,polyA RNA,Viable single cells were prepared from the PBMC and tumor of 10 nasopharyngeal carcinoma patients.,Illumina-implemented software bcl2fastq (version v2.19.0.316) was used for basecalling.,GPL20795,"Jin-Xin,,Bei",beijx@sysucc.org.cn,86 020 8734 3189,Bei-lab,Sun Yat-sen University Cancer Center,"651 Dongfeng Road East, Yuexiu District, Guanzhou, P.R. China",Guangzhou,Guangdong,510060,China,HiSeq X Ten,cDNA,transcriptomic,RNA-Seq,BioSample: https://www.ncbi.nlm.nih.gov/biosample/SAMN16874517,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM4929nnn/GSM4929852/suppl/GSM4929852_NPC_SC_1807_Tumor_count.csv.gz,GSE162025,0
GSM4929853,NPC_SC_1808_PBMC_cDNA,Public on Nov 24 2020,Nov 23 2020,Nov 24 2020,SRA,1,NPC_SC_1808_PBMC,Homo sapiens,9606,subject/sample id: 1808,polyA RNA,Viable single cells were prepared from the PBMC and tumor of 10 nasopharyngeal carcinoma patients.,Illumina-implemented software bcl2fastq (version v2.19.0.316) was used for basecalling.,GPL20795,"Jin-Xin,,Bei",beijx@sysucc.org.cn,86 020 8734 3189,Bei-lab,Sun Yat-sen University Cancer Center,"651 Dongfeng Road East, Yuexiu District, Guanzhou, P.R. China",Guangzhou,Guangdong,510060,China,HiSeq X Ten,cDNA,transcriptomic,RNA-Seq,BioSample: https://www.ncbi.nlm.nih.gov/biosample/SAMN16874516,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM4929nnn/GSM4929853/suppl/GSM4929853_NPC_SC_1808_PBMC_count.csv.gz,GSE162025,0
GSM4929854,NPC_SC_1808_Tumor_cDNA,Public on Nov 24 2020,Nov 23 2020,Nov 24 2020,SRA,1,NPC_SC_1808_Tumor,Homo sapiens,9606,subject/sample id: 1808,polyA RNA,Viable single cells were prepared from the PBMC and tumor of 10 nasopharyngeal carcinoma patients.,Illumina-implemented software bcl2fastq (version v2.19.0.316) was used for basecalling.,GPL20795,"Jin-Xin,,Bei",beijx@sysucc.org.cn,86 020 8734 3189,Bei-lab,Sun Yat-sen University Cancer Center,"651 Dongfeng Road East, Yuexiu District, Guanzhou, P.R. China",Guangzhou,Guangdong,510060,China,HiSeq X Ten,cDNA,transcriptomic,RNA-Seq,BioSample: https://www.ncbi.nlm.nih.gov/biosample/SAMN16874515,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM4929nnn/GSM4929854/suppl/GSM4929854_NPC_SC_1808_Tumor_count.csv.gz,GSE162025,0
